x,y,z,s
-4.000000,5.000000,5.000000,6
5.000000,-5.000000,4.000000,6
5.000000,-5.000000,3.000000,6
4.162106,-5.000000,3.403106,6
5.000000,-5.000000,4.000000,6
5.000000,-5.000000,3.000000,6
5.000000,-4.113590,3.647375,6
-2.057881,-3.299711,5.000000,6
-1.511811,-4.166036,5.000000,6
-2.564694,-4.123043,5.000000,6
0.500461,-5.000000,4.175980,6
1.010070,-5.000000,3.346906,6
0.000495,-5.000000,3.346551,6
5.000000,-5.000000,4.000000,6
4.162106,-5.000000,3.403106,6
3.613185,-5.000000,4.143032,6
-2.057881,-3.299711,5.000000,6
-1.015416,-3.342720,5.000000,6
-1.511811,-4.166036,5.000000,6
1.577119,-5.000000,-2.487874,6
1.051700,-5.000000,-1.654239,6
2.302006,-5.000000,-1.569562,6
1.142572,5.000000,-1.628115,6
2.324306,5.000000,-1.574012,6
1.686503,5.000000,-0.877061,6
-4.174833,-0.500228,5.000000,6
-3.346345,0.002017,5.000000,6
-3.328410,-1.010263,5.000000,6
-5.000000,-2.000000,5.000000,6
-4.165285,-2.499841,5.000000,6
-5.000000,-3.000000,5.000000,6
-5.000000,-2.000000,5.000000,6
-5.000000,-3.000000,5.000000,6
-5.000000,-2.493889,4.166907,6
-3.118694,3.226801,5.000000,6
-3.300080,2.056581,5.000000,6
-4.125575,2.559162,5.000000,6
-5.000000,0.500424,4.176277,6
-5.000000,1.009220,3.348147,6
-5.000000,1.504406,4.173668,6
-4.112224,3.648724,5.000000,6
-3.118694,3.226801,5.000000,6
-4.125575,2.559162,5.000000,6
-5.000000,3.611909,4.144244,6
-5.000000,3.148904,3.193083,6
-5.000000,4.163152,3.402054,6
2.489159,1.561882,5.000000,6
1.597542,1.000682,5.000000,6
1.573935,2.307945,5.000000,6
-2.000000,5.000000,5.000000,6
-1.000000,5.000000,5.000000,6
-1.502009,4.172153,5.000000,6
-2.000000,5.000000,5.000000,6
-1.000000,5.000000,5.000000,6
-1.499889,5.000000,4.175525,6
-2.499807,4.165250,5.000000,6
-1.502009,4.172153,5.000000,6
-2.024850,3.311507,5.000000,6
0.841905,1.671859,5.000000,6
0.442281,0.823558,5.000000,6
-0.065795,1.627180,5.000000,6
-0.518989,-2.518947,5.000000,6
-0.014235,-1.677941,5.000000,6
0.519360,-2.519871,5.000000,6
-1.011054,3.326836,5.000000,6
-1.585738,2.313242,5.000000,6
-2.024850,3.311507,5.000000,6
5.000000,2.526305,4.157519,6
5.000000,3.613185,4.143032,6
5.000000,3.153544,3.190364,6
2.498993,4.165192,5.000000,6
2.000000,5.000000,5.000000,6
3.000000,5.000000,5.000000,6
2.000000,5.000000,5.000000,6
3.000000,5.000000,5.000000,6
2.529216,5.000000,4.157315,6
-3.118694,3.226801,5.000000,6
-2.024850,3.311507,5.000000,6
-2.499356,2.513201,5.000000,6
0.000414,-0.006838,-5.000000,6
1.002039,0.021680,-5.000000,6
0.499540,0.871579,-5.000000,6
0.841905,1.671859,5.000000,6
1.597542,1.000682,5.000000,6
0.442281,0.823558,5.000000,6
1.017673,3.320138,-5.000000,6
0.000605,3.342963,-5.000000,6
0.497581,2.500167,-5.000000,6
4.161358,-3.403803,-5.000000,6
5.000000,-4.000000,-5.000000,6
5.000000,-3.000000,-5.000000,6
5.000000,-4.000000,-5.000000,6
5.000000,-3.000000,-5.000000,6
5.000000,-3.649202,-4.106914,6
5.000000,0.501363,-4.175033,6
5.000000,1.017814,-3.339497,6
5.000000,1.512150,-4.165096,6
4.174532,1.500992,-5.000000,6
5.000000,2.000000,-5.000000,6
4.165880,2.495138,-5.000000,6
5.000000,-3.649202,-4.106914,6
5.000000,-4.204687,-3.360515,6
5.000000,-3.228169,-3.114574,6
3.149645,-3.193396,-5.000000,6
3.278548,-2.057893,-5.000000,6
2.475814,-2.534156,-5.000000,6
3.278548,-2.057893,-5.000000,6
2.292951,-1.586078,-5.000000,6
2.475814,-2.534156,-5.000000,6
-5.000000,1.142572,-1.628115,6
-5.000000,0.722973,-0.608404,6
-5.000000,0.093645,-1.634091,6
-5.000000,-3.000000,-5.000000,6
-5.000000,-4.000000,-5.000000,6
-4.168902,-3.400752,-5.000000,6
-5.000000,-3.000000,-5.000000,6
-5.000000,-4.000000,-5.000000,6
-5.000000,-3.359639,-4.210015,6
-4.130008,-2.530903,-5.000000,6
-3.149809,-3.193562,-5.000000,6
-3.275285,-2.058446,-5.000000,6
2.324306,5.000000,-1.574012,6
3.312505,5.000000,-2.023062,6
3.325655,5.000000,-1.010970,6
5.000000,1.512150,-4.165096,6
5.000000,1.017814,-3.339497,6
5.000000,2.061458,-3.295376,6
3.225244,5.000000,-3.117553,6
3.312505,5.000000,-2.023062,6
2.508698,5.000000,-2.498878,6
1.585538,5.000000,-2.486173,6
2.055318,5.000000,-3.300230,6
2.508698,5.000000,-2.498878,6
2.027014,-3.328269,-5.000000,6
3.149645,-3.193396,-5.000000,6
2.475814,-2.534156,-5.000000,6
2.027014,-3.328269,-5.000000,6
2.475814,-2.534156,-5.000000,6
1.557049,-2.506731,-5.000000,6
-0.513299,-2.523111,-5.000000,6
-1.066144,-1.673400,-5.000000,6
-1.552488,-2.507478,-5.000000,6
3.000000,-5.000000,-5.000000,6
2.560776,-5.000000,-4.124001,6
3.649241,-5.000000,-4.111687,6
-0.502173,-5.000000,-4.174221,6
-1.512117,-5.000000,-4.165087,6
-1.019562,-5.000000,-3.338698,6
-5.000000,-4.000000,5.000000,6
-5.000000,-4.107260,3.648760,6
-5.000000,-3.360877,4.204306,6
-1.008516,-3.348528,-5.000000,6
-0.513299,-2.523111,-5.000000,6
-1.552488,-2.507478,-5.000000,6
-0.533594,-5.000000,-2.505379,6
-1.019562,-5.000000,-3.338698,6
-1.587226,-5.000000,-2.483898,6
1.010164,-3.347315,-5.000000,6
1.557049,-2.506731,-5.000000,6
0.515842,-2.523597,-5.000000,6
2.515369,-5.000000,-2.495883,6
1.577119,-5.000000,-2.487874,6
2.302006,-5.000000,-1.569562,6
0.518348,-0.855782,-5.000000,6
1.558072,-0.800509,-5.000000,6
1.002039,0.021680,-5.000000,6
5.000000,1.577119,-2.487874,6
5.000000,0.508194,-2.512441,6
5.000000,1.051700,-1.654239,6
0.518348,-0.855782,-5.000000,6
1.074362,-1.681439,-5.000000,6
1.558072,-0.800509,-5.000000,6
0.721037,5.000000,0.620600,6
-0.039870,5.000000,0.004370,6
0.722973,5.000000,-0.608404,6
-4.000000,-5.000000,5.000000,6
-3.647301,-4.113734,5.000000,6
-3.000000,-5.000000,5.000000,6
-4.000000,-5.000000,5.000000,6
-3.000000,-5.000000,5.000000,6
-3.359434,-5.000000,4.210324,6
0.501334,-4.175255,5.000000,6
1.000000,-5.000000,5.000000,6
0.000000,-5.000000,5.000000,6
1.000000,-5.000000,5.000000,6
0.000000,-5.000000,5.000000,6
0.500461,-5.000000,4.175980,6
2.559226,-4.124677,5.000000,6
1.513330,-4.164339,5.000000,6
2.057822,-3.299369,5.000000,6
3.344209,-5.000000,0.000685,6
3.327020,-5.000000,-1.009352,6
2.494566,-5.000000,-0.489934,6
4.166346,-5.000000,-2.498680,6
